State.Abbreviation,nursinghm.closed.days,nursinghm.flag,rest.closed.days.x1,rest.closed.days.x2,rest.closed.days.x3,rest.duration.days,rest.flag,daycare.closed.days,daycare.flag,movies.closed.days.x1,movies.closed.days.x2,movies.duration.days,movies.flag,gym.closed.days.x1,gym.closed.days.x2,gyms.duration.days,gyms.flag,emr.closed.days,emr.flag,facemsk.duration.days,facemsk.mandate.flag,facemsk.enforced.flag,stayhm.duration.days,stayhm.flag,relgn.gathering.banned.flag,state,state.fips.code,population.density.per.square.mile,population.2018,square.miles,number.homeless..2019.,percent.unemployed..2018.,percent.living.under.the.federal.poverty.line..2018.,percent.at.risk.for.serious.illness.due.to.covid,all.cause.deaths.2018,mental.health.professionals.per.100.000.population.in.2019,were.there.casino.s..in.state...land.and.non.land.based.,state.has.at.least.one.american.indian.alaskan.native.reservation,Legislature.Control,State.Control,most_recent_population,date,fips,cases,deaths,infections.per.capita
NJ,105.5,1,91,0,0,91,1,89,1,172,0,172,1,169,0,169,1,373.5,1,342.5,1,1,80,1,1,New Jersey,34,1021.27,8908520,8723,8862,4.9,9.5,34.6,75765,220.7,1,0,Dem,Dem,8874520,2021-04-05,34,930026,24649,0.10479732988375709
NM,203.5,1,68,47,16,131,1,0,0,350.5,0,350.5,1,74,108.5,182.5,1,371.5,1,305.5,1,0,0,0,0,New Mexico,35,17.23,2095428,121590,3241,6.1,19.5,39.4,19007,388.8,1,1,Dem,Dem,2105000,2021-04-05,35,192595,3955,0.09149406175771972
NY,203.5,1,97,0,0,97,1,0,0,353.5,0,353.5,1,353.5,0,353.5,1,375.5,1,333.5,1,1,97,1,0,New York,36,358.21,19542209,54555,92091,5,13.6,36.9,157183,291.1,1,1,Dem,Dem,19300000,2021-04-05,36,1910858,50195,0.09900818652849741
NC,191.5,1,65,0,0,65,1,0,0,344.5,0,344.5,1,163,0,163,1,372.5,1,263.5,1,1,53,1,0,North Carolina,37,192.94,10383620,53819,9314,5,14,39,93885,243.6,1,1,Rep,Divided,10701000,2021-04-05,37,928253,12200,0.08674450985889169
ND,179.5,1,41,0,0,41,1,0,0,42,0,42,1,42,0,42,1,369.5,1,65,1,1,0,0,1,North Dakota,38,10.75,760077,70698,557,2.8,10.7,34.6,6445,188.4,1,1,Rep,Rep,770026,2021-04-05,38,103745,1497,0.13472921693553205
OH,205.5,1,60,0,0,60,1,66,1,85,0,85,1,66,0,66,1,373.5,1,236.5,1,0,57,1,0,Ohio,39,260.77,11689442,44826,10345,4.9,13.9,39.8,124264,245.1,1,0,Rep,Rep,11714600,2021-04-05,39,1026929,18643,0.08766231881583665
OK,192.5,1,30,0,0,30,1,0,0,30,0,30,1,30,0,30,1,367.5,1,0,0,1,0,0,1,Oklahoma,40,56.41,3943079,69899,3944,4.4,15.6,40.8,40933,401.4,1,1,Rep,Rep,3990440,2021-04-05,40,440022,4953,0.11026904301280059
OR,200.5,1,93,106.5,0,199.5,1,52,1,345.5,0,345.5,1,87,106.5,193.5,1,374.5,1,258.5,1,0,88,1,1,Oregon,41,42.6,4190713,98379,15876,5,12.6,39.8,36187,522.3,1,1,Dem,Dem,4289440,2021-04-05,41,167219,2409,0.038983876683203404
PA,199.5,1,79,23,0,102,1,80,1,104,23,127,1,104,23,127,1,376.5,1,258.5,1,1,65,1,0,Pennsylvania,42,278.09,12807060,46054,13199,4.9,12.2,39.8,134702,206.2,1,0,Rep,Divided,12804100,2021-04-05,42,1050649,25254,0.08205566966830936
RI,203.5,1,61,0,0,61,1,77,1,99,21,120,1,70,21,91,1,373.5,1,332.5,1,0,42,1,1,Rhode Island,44,684.35,1057315,1545,1055,5.5,12.9,38.3,10083,409.5,1,1,Dem,Dem,1061510,2021-04-05,44,139173,2629,0.13110851522830685
